timestamp,model_name,target_column,model_path,dataset_name,train_rows,test_rows,feature_count,train_label,train_accuracy,train_balanced_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,test_label,test_accuracy,test_balanced_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted
2026-04-26T15:22:32,dummy_most_frequent,target_5d_3class,artifacts\models\20260426_152232_dummy_most_frequent.joblib,model_dataset.parquet,6591,9675,96,train,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1666666666666666,0.1111111111111111,0.3333333333333333,0.1666666666666666,test,0.384702842377261,0.3333333333333333,0.1282342807924203,0.3333333333333333,0.1852155955313378,0.1479962769331437,0.384702842377261,0.2137588981605083
2026-04-26T15:23:54,dummy_most_frequent,target_5d_3class,artifacts\models\20260426_152354_dummy_most_frequent.joblib,model_dataset.parquet,6591,9675,96,train,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1666666666666666,0.1111111111111111,0.3333333333333333,0.1666666666666666,test,0.384702842377261,0.3333333333333333,0.1282342807924203,0.3333333333333333,0.1852155955313378,0.1479962769331437,0.384702842377261,0.2137588981605083
2026-04-26T15:23:54,dummy_stratified,target_5d_3class,artifacts\models\20260426_152354_dummy_stratified.joblib,model_dataset.parquet,6591,9675,96,train,0.3299954483386436,0.3299954483386436,0.3299314947059149,0.3299954483386436,0.3298711307904999,0.3299314947059149,0.3299954483386436,0.3298711307904999,test,0.3291989664082687,0.3343314503508638,0.3308081417057291,0.3343314503508638,0.3101952865213342,0.3978316125375901,0.3291989664082687,0.3492498705112519
2026-04-26T15:23:55,random_forest,target_5d_3class,artifacts\models\20260426_152355_random_forest.joblib,model_dataset.parquet,6591,9675,96,train,0.990138067061144,0.9901380670611438,0.9901582217098333,0.9901380670611438,0.9901256791241828,0.9901582217098333,0.990138067061144,0.9901256791241828,test,0.2950904392764857,0.3580690110085464,0.3454309557450364,0.3580690110085464,0.2918529509393439,0.4139396717209752,0.2950904392764857,0.3142218792572324
2026-04-26T15:23:59,hist_gradient_boosting,target_5d_3class,artifacts\models\20260426_152359_hist_gradient_boosting.joblib,model_dataset.parquet,6591,9675,96,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,test,0.3223772609819121,0.345709373805921,0.3438750270820657,0.345709373805921,0.3097525012168468,0.4157978614731302,0.3223772609819121,0.3459386194458388
2026-04-26T15:24:00,extra_trees,target_5d_3class,artifacts\models\20260426_152400_extra_trees.joblib,model_dataset.parquet,6591,9675,96,train,0.9836140191169775,0.9836140191169775,0.9836090287074128,0.9836140191169775,0.9835973585617432,0.9836090287074128,0.9836140191169775,0.9835973585617432,test,0.2959173126614987,0.3613920644811764,0.3535781020057767,0.3613920644811764,0.2923864140853922,0.4255748988232797,0.2959173126614987,0.3164740454879733
2026-04-26T15:26:35,dummy_most_frequent,target_5d_3class,artifacts\models\20260426_152635_dummy_most_frequent.joblib,model_dataset.parquet,6591,9675,96,train,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1666666666666666,0.1111111111111111,0.3333333333333333,0.1666666666666666,test,0.384702842377261,0.3333333333333333,0.1282342807924203,0.3333333333333333,0.1852155955313378,0.1479962769331437,0.384702842377261,0.2137588981605083
2026-04-26T15:26:35,dummy_stratified,target_5d_3class,artifacts\models\20260426_152635_dummy_stratified.joblib,model_dataset.parquet,6591,9675,96,train,0.3299954483386436,0.3299954483386436,0.3299314947059149,0.3299954483386436,0.3298711307904999,0.3299314947059149,0.3299954483386436,0.3298711307904999,test,0.3291989664082687,0.3343314503508638,0.3308081417057291,0.3343314503508638,0.3101952865213342,0.3978316125375901,0.3291989664082687,0.3492498705112519
2026-04-26T15:26:36,random_forest,target_5d_3class,artifacts\models\20260426_152635_random_forest.joblib,model_dataset.parquet,6591,9675,96,train,0.5421028675466545,0.5421028675466545,0.5642430618597579,0.5421028675466545,0.5416548446484937,0.5642430618597578,0.5421028675466545,0.5416548446484938,test,0.2586046511627907,0.3665489091800132,0.3533819225508638,0.3665489091800132,0.2586116965477065,0.42507808765692,0.2586046511627907,0.2674231896534908
2026-04-26T15:26:37,hist_gradient_boosting,target_5d_3class,artifacts\models\20260426_152637_hist_gradient_boosting.joblib,model_dataset.parquet,6591,9675,96,train,0.6571081778182369,0.6571081778182369,0.6658780423372153,0.6571081778182369,0.6575946226552741,0.6658780423372153,0.6571081778182369,0.6575946226552741,test,0.2937467700258398,0.3636116900053818,0.3560366269196859,0.3636116900053818,0.2921400561319524,0.428386392315996,0.2937467700258398,0.3139031864353231
2026-04-26T15:26:38,extra_trees,target_5d_3class,artifacts\models\20260426_152638_extra_trees.joblib,model_dataset.parquet,6591,9675,96,train,0.4663935669852829,0.4663935669852829,0.4866054504439259,0.4663935669852829,0.4556266936493601,0.486605450443926,0.4663935669852829,0.4556266936493601,test,0.2760723514211886,0.3715003104644894,0.3585789634484335,0.3715003104644894,0.2640364165094183,0.4305338881029057,0.2760723514211886,0.2815513771914635
2026-04-26T15:28:30,dummy_most_frequent,target_5d_3class,artifacts\models\20260426_152830_dummy_most_frequent.joblib,model_dataset.parquet,19317,9675,96,train,0.4732618936687891,0.3333333333333333,0.157753964556263,0.3333333333333333,0.2141560373402673,0.2239768199989682,0.4732618936687891,0.3040556753167764,test,0.4887855297157623,0.3333333333333333,0.1629285099052541,0.3333333333333333,0.2188743867444228,0.2389112940595183,0.4887855297157623,0.320947899198256
2026-04-26T15:28:30,dummy_stratified,target_5d_3class,artifacts\models\20260426_152830_dummy_stratified.joblib,model_dataset.parquet,19317,9675,96,train,0.4012527825231661,0.3274658274547283,0.3274838350053297,0.3274658274547283,0.3274717428679666,0.4015950512865679,0.4012527825231661,0.4014212498160167,test,0.4084754521963824,0.3367733938421418,0.3367679263168578,0.3367733938421418,0.336659039443978,0.4069670530420463,0.4084754521963824,0.4076290690819782
2026-04-26T15:28:32,random_forest,target_5d_3class,artifacts\models\20260426_152832_random_forest.joblib,model_dataset.parquet,19317,9675,96,train,0.4425117771910752,0.4985779759309829,0.4794742042657836,0.4985779759309829,0.4279890773315203,0.5790776813653055,0.4425117771910752,0.4744017448668105,test,0.2747286821705426,0.3631916833139268,0.3453956359662881,0.3631916833139268,0.2723426160624486,0.4143616896937338,0.2747286821705426,0.2879353176930564
2026-04-26T15:28:34,hist_gradient_boosting,target_5d_3class,artifacts\models\20260426_152834_hist_gradient_boosting.joblib,model_dataset.parquet,19317,9675,96,train,0.6191955272557851,0.4574088940841489,0.7619027000796607,0.4574088940841489,0.4279427042734204,0.6801106638055195,0.6191955272557851,0.5711140040449874,test,0.4537467700258398,0.3259342178039722,0.2812655833518845,0.3259342178039722,0.2899775417657551,0.3751400637566748,0.4537467700258398,0.395865132088657
2026-04-26T15:28:35,extra_trees,target_5d_3class,artifacts\models\20260426_152835_extra_trees.joblib,model_dataset.parquet,19317,9675,96,train,0.3723663094683439,0.4421625627905339,0.4338453899613734,0.4421625627905339,0.3622832246716773,0.5248603101843912,0.3723663094683439,0.4006312072897215,test,0.2735917312661499,0.3687327401450166,0.3518817643054509,0.3687327401450166,0.257996183174677,0.4230974508171252,0.2735917312661499,0.2756381252944746
2026-04-26T15:31:30,dummy_most_frequent,target_5d_binary,artifacts\models\20260426_153130_dummy_most_frequent.joblib,model_dataset.parquet,19317,9675,96,train,0.5267381063312109,0.5,0.2633690531656054,0.5,0.3450088159500881,0.27745303266139,0.5267381063312109,0.3634585807622453,test,0.5112144702842377,0.5,0.2556072351421188,0.5,0.33828055536557,0.2613402346279938,0.5112144702842377,0.3458678298373353
2026-04-26T15:31:30,dummy_stratified,target_5d_binary,artifacts\models\20260426_153130_dummy_stratified.joblib,model_dataset.parquet,19317,9675,96,train,0.501009473520733,0.4994590348189123,0.4994587656093534,0.4994590348189123,0.4994564176467365,0.5008902948966234,0.501009473520733,0.5009474090201923,test,0.4989147286821705,0.4980919538971837,0.498082617022293,0.4980919538971837,0.4977645444665612,0.4983372971777139,0.4989147286821705,0.498303615686404
2026-04-26T15:31:32,random_forest,target_5d_binary,artifacts\models\20260426_153132_random_forest.joblib,model_dataset.parquet,19317,9675,96,train,0.6313092095045815,0.6350326086313836,0.6367771866686576,0.6350326086313836,0.6308395595987297,0.6391199574735064,0.6313092095045815,0.630135425559913,test,0.5010852713178294,0.5016065236420544,0.5016091812061545,0.5016065236420544,0.501013540994012,0.5018623848715588,0.5010852713178294,0.5008793558192846
2026-04-26T15:31:33,hist_gradient_boosting,target_5d_binary,artifacts\models\20260426_153133_hist_gradient_boosting.joblib,model_dataset.parquet,19317,9675,96,train,0.652948180359269,0.6423857757242137,0.6707116920316365,0.6423857757242137,0.6332295328461488,0.6683962715196422,0.652948180359269,0.637777280754399,test,0.5028423772609819,0.4971693870883144,0.4961985052403405,0.4971693870883144,0.4655715132249855,0.4964931547863203,0.5028423772609819,0.4687369838691386
