feature,importance
rolling_volatility_20,0.045736211483838246
adx_14,0.03667742881258555
keltner_width_pct_20,0.03665452589426295
atr_pct_20,0.034185018586131315
sma_50_vs_sma_200,0.030837625102037945
rolling_range_width_pct_50,0.029809614588750605
sma_20_vs_sma_50,0.027589825811009428
atr_pct_14,0.02715113084903756
minus_di_14,0.025751493081180327
rolling_volatility_14,0.024536507732463318
close_vs_sma_200,0.024315264106088186
sma_50_slope_5,0.023295110242405572
plus_di_14,0.022675982990549178
close_vs_ema_200,0.020058526063042554
macd_signal_pct,0.019134682884430664
donchian_width_pct_20,0.019101281738837197
rolling_range_width_pct_20,0.01791227904327812
ema_50_slope_5,0.017886497795746095
vpt_change_vs_avg_volume_20,0.017240616340411578
bollinger_width_20,0.017150787269991197
macd_line_pct,0.01704156242473721
ema_12_vs_ema_26,0.01628041461819784
macd_above_signal,0.016205785665908037
obv_change_vs_avg_volume_20,0.01606134728497918
di_spread_pct_14,0.015659535774842137
close_vs_rolling_low_50,0.01562503563314047
close_vs_rolling_high_50,0.015336149116210892
mfi_14_scaled,0.014490977608138682
close_vs_sma_50,0.013155661038932615
di_spread_14,0.012498141366623826
close_vs_ema_50,0.012352280039081603
close_vs_rolling_low_20,0.011249165666590033
cmf_20,0.010422103656940442
macd_histogram_pct,0.010273679898361062
rsi_14_scaled,0.01025727678153973
close_vs_rolling_high_20,0.010166565994984137
sma_20_slope_5,0.009916619935167665
adl_change_vs_avg_volume_20,0.009120907240277448
return_5d,0.008804939579650334
stochastic_k_14,0.008751525247065338
candle_direction,0.008626416580191013
gap_down,0.008581999923301126
stochastic_d_14_3,0.008312191358024962
ema_20_slope_5,0.008100131762634036
close_breakout_above_rolling_high_20,0.007632831270996337
williams_r_14,0.0074131828175696395
close_position_in_rolling_range_50,0.007380344985482888
close_position_in_keltner_20,0.0072751668596244086
plus_di_above_minus_di_14,0.007254718942443003
bollinger_percent_b_20,0.0072527427260837595
close_vs_sma_20,0.0068093241019978115
return_20d,0.006767718280601967
close_position_in_donchian_20,0.006443687990601174
close_above_pivot_point,0.006356552158619954
cci_14,0.006269662294101338
momentum_pct_14,0.00580429262186334
volume_ratio_20,0.005733637715865004
close_vs_vwap_20,0.005556980764118311
close_vs_ema_20,0.005359341185420599
close_above_pivot_resistance_1,0.005205142507420132
close_vs_bollinger_middle_20,0.005153202176186936
candle_range_pct,0.004873881172071762
gap_up,0.0045087332659527
close_position_in_rolling_range_20,0.004356251968013368
pivot_range_pct,0.004081999049238834
roc_14,0.003778046394087965
true_range_pct,0.003413641171593385
long_body_20,0.0033243316089343884
lower_wick_pct_of_range,0.0030581138131777937
candle_body_abs_pct,0.0029578655013215863
lower_wick_pct,0.0028208404886944814
shooting_star,0.0028118040120753405
close_breakdown_below_rolling_low_20,0.0027373548663802705
close_above_bollinger_upper_20,0.0025209021470194637
hammer,0.0025121536754096362
close_vs_pivot_resistance_2,0.00243345707798616
doji,0.0024036690165909996
body_pct_of_range,0.002328819689420196
long_upper_wick,0.0023148498681071585
upper_wick_pct_of_range,0.002313252885494013
close_vs_pivot_support_1,0.002226681813220172
outside_bar,0.0020759107231123164
close_vs_pivot_resistance_1,0.001992810059742442
close_below_bollinger_lower_20,0.0018835205739575452
candle_body_pct,0.0018248798225032482
close_below_pivot_support_1,0.0018152068509636606
upper_wick_pct,0.0016916324060457961
close_vs_pivot_support_2,0.0016743455889516045
return_1d,0.0015384005432905266
long_lower_wick,0.001518196199634928
close_vs_pivot_point,0.0014048808283717627
engulfing_bullish,0.0013937323604223362
inside_bar,0.0013628164896166467
gap_pct,0.0013544851538990867
log_return_1d,0.0013370994782967726
engulfing_bearish,0.000696079425807605
